Gan ここに立つ, 30s
Billy ヒトなのかネコなのか、それが問題だぁ！, 1s
Yuka ゾウだったのよ。ゾウだったわ。ゾウは鼻ね。ゾウの、鼻……。私、ゾウの鼻を, 1s
Gan 言わせない, 1s
Suzu 言わせない, 1s
Billy 言わせない, 1s
Yuno 言わせない, 1s
Yuka たことがあるわ。, 1s
Yuka ゾウの鼻は、, 1s
Yuka ゾウの鼻は、, 1s
Yuka かったわ。その、, 1s
Yuka は、そうね、夢に似ていた。はつきりと覚えている夢よ。私、時々、夢を見るわ。ゾウの鼻を、, 1s
Yuka ている夢よ。目覚めるとよみがえってくるわ……。私、ゾウの鼻を, 1s
Yuka たくて、, 1s
Yuka たくて、, 1s
Yuka たくて、探したわ。でも、どこにもない。私、今でも、, 1s
Yuka たいわ。ゾウの鼻……、ゾウの鼻…。, 5s
Yuka ものすごくゆっくり外を向く, 5s
Gan 窓の外を見る, 3s
Suzu 窓の外を見る, 3s
Billy 窓の外を見る, 3s
Yuno 窓の外を見る, 3s
Suzu Yunoを見る, 1s
Suzu すいませんが、私、口をふさいでますから、あんた、車椅子を押してくれませんか。このまま放っておくと、保健所がくる。, 1s
Yuno Suzuを見る, 1s
Yuno いいですよ, 1s
Suzu 方法は、あるんです。ゾウの鼻をバツバツさせるんです。, 1s
Yuno ゾウの鼻をバツバツさせる？, 1s
Suzu 勿論、生きちゃいません。匂いもバツバツもない。ニセモノです。私は、五年越し、彼女にゾウの鼻をバツバツさせてきました。ホラホラ、ゾウの鼻だよ。……るんだよ、とね。,3s
Billy Happy Birthdayを流す, 15s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
Suzu 泣く, 5s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
**Anyone** **randomize**,1s
Yuka 泣く, 10s
みんな 並ぶ, 3s
みんな 礼をする, 5s
みんな 帰る, 3s
